date,krx_semi,btc_krw
2018-10-01,20949.0,7375000.0
2018-10-02,20526.0,7369000.0
2018-10-03,20526.0,7386000.0
2018-10-04,20178.0,7481000.0
2018-10-05,19842.0,7503000.0
2018-10-06,19842.0,7485000.0
2018-10-07,19842.0,7482000.0
2018-10-08,19812.0,7542000.0
2018-10-09,19812.0,7527000.0
2018-10-10,19347.0,7472000.0
2018-10-11,18349.0,7187000.0
2018-10-12,18947.0,7183000.0
2018-10-13,18947.0,7189000.0
2018-10-14,18947.0,7198000.0
2018-10-15,18556.0,7413000.0
2018-10-16,19037.0,7352000.0
2018-10-17,19395.0,7327000.0
2018-10-18,19124.0,7343000.0
2018-10-19,19441.0,7291000.0
2018-10-20,19441.0,7302000.0
2018-10-21,19441.0,7311000.0
2018-10-22,19284.0,7297000.0
2018-10-23,18671.0,7270000.0
2018-10-24,18444.0,7296000.0
2018-10-25,18034.0,7272000.0
2018-10-26,17953.0,7276000.0
2018-10-27,17953.0,7284000.0
2018-10-28,17953.0,7258000.0
2018-10-29,17668.0,7097000.0
2018-10-30,18325.0,7140000.0
2018-10-31,18367.0,7162000.0
2018-11-01,18253.0,7186000.0
2018-11-02,19222.0,7179000.0
2018-11-03,19222.0,7150000.0
2018-11-04,19222.0,7213000.0
2018-11-05,18747.0,7198000.0
2018-11-06,18595.0,7231000.0
2018-11-07,18181.0,7310000.0
2018-11-08,18566.0,7282000.0
2018-11-09,18706.0,7243000.0
2018-11-10,18706.0,7237000.0
2018-11-11,18706.0,7253000.0
2018-11-12,18848.0,7249000.0
2018-11-13,18329.0,7248000.0
2018-11-14,18063.0,6782000.0
2018-11-15,18272.0,6529000.0
2018-11-16,18253.0,6425000.0
2018-11-17,18253.0,6385000.0
2018-11-18,18253.0,6431000.0
2018-11-19,18240.0,5618000.0
2018-11-20,17560.0,5177000.0
2018-11-21,17730.0,5274000.0
2018-11-22,17607.0,4965000.0
2018-11-23,17510.0,5013000.0
2018-11-24,17510.0,4492000.0
2018-11-25,17510.0,4616000.0
2018-11-26,17806.0,4371000.0
2018-11-27,17906.0,4380000.0
2018-11-28,18129.0,4800000.0
2018-11-29,18048.0,4840000.0
2018-11-30,17896.0,4565000.0
2018-12-01,17896.0,4721000.0
2018-12-02,17896.0,4685000.0
2018-12-03,18235.0,4387000.0
2018-12-04,18002.0,4457000.0
2018-12-05,17758.0,4262000.0
2018-12-06,17188.0,3965000.0
2018-12-07,17198.0,3868000.0
2018-12-08,17198.0,3875000.0
2018-12-09,17198.0,4013000.0
2018-12-10,16576.0,3895000.0
2018-12-11,16557.0,3822000.0
2018-12-12,16870.0,3888000.0
2018-12-13,17080.0,3721000.0
2018-12-14,16480.0,3642000.0
2018-12-15,16480.0,3619000.0
2018-12-16,16480.0,3637000.0
2018-12-17,16466.0,3923000.0
2018-12-18,16123.0,4088000.0
2018-12-19,16236.0,4124000.0
2018-12-20,15848.0,4552000.0
2018-12-21,16085.0,4333000.0
2018-12-22,16085.0,4464000.0
2018-12-23,16085.0,4439000.0
2018-12-24,16223.0,4539000.0
2018-12-25,16223.0,4243000.0
2018-12-26,15948.0,4293000.0
2018-12-27,16308.0,4124000.0
2018-12-28,16522.0,4338000.0
2018-12-29,16522.0,4200000.0
2018-12-30,16522.0,4291000.0
2018-12-31,16522.0,4200000.0
2019-01-01,16522.0,4288000.0
2019-01-02,16323.0,4347000.0
2019-01-03,15671.0,4284000.0
2019-01-04,15354.0,4303000.0
2019-01-05,15354.0,4294000.0
2019-01-06,15354.0,4520000.0
2019-01-07,15634.0,4499000.0
2019-01-08,15657.0,4480000.0
2019-01-09,16513.0,4458000.0
2019-01-10,16779.0,4087000.0
2019-01-11,16803.0,4101000.0
2019-01-12,16803.0,4098000.0
2019-01-13,16803.0,3963000.0
2019-01-14,16471.0,4098000.0
2019-01-15,16726.0,4034000.0
2019-01-16,16937.0,4052000.0
2019-01-17,17070.0,4075000.0
2019-01-18,17154.0,4046000.0
2019-01-19,17154.0,4115000.0
2019-01-20,17154.0,3984000.0
2019-01-21,17688.0,3973000.0
2019-01-22,17540.0,4013000.0
2019-01-23,17607.0,3996000.0
2019-01-24,18044.0,3983000.0
2019-01-25,18600.0,3957000.0
2019-01-26,18600.0,3963000.0
2019-01-27,18600.0,3951000.0
2019-01-28,18552.0,3828000.0
2019-01-29,18890.0,3795000.0
2019-01-30,19404.0,3810000.0
2019-01-31,19134.0,3775000.0
2019-02-01,19170.0,3816000.0
2019-02-02,19170.0,3855000.0
2019-02-03,19170.0,3821000.0
2019-02-04,19170.0,3822000.0
2019-02-05,19170.0,3835000.0
2019-02-06,19170.0,3791000.0
2019-02-07,19788.0,3783000.0
2019-02-08,19284.0,4009000.0
2019-02-09,19284.0,3998000.0
2019-02-10,19284.0,4023000.0
2019-02-11,19222.0,3986000.0
2019-02-12,19533.0,3981000.0
2019-02-13,20155.0,3983000.0
2019-02-14,20555.0,3984000.0
2019-02-15,19908.0,3986000.0
2019-02-16,19908.0,4002000.0
2019-02-17,19908.0,4040000.0
2019-02-18,20145.0,4236000.0
2019-02-19,20107.0,4259000.0
2019-02-20,20496.0,4315000.0
2019-02-21,20467.0,4328000.0
2019-02-22,20449.0,4346000.0
2019-02-23,20449.0,4479000.0
2019-02-24,20449.0,4178000.0
2019-02-25,20925.0,4255000.0
2019-02-26,20679.0,4228000.0
2019-02-27,20536.0,4259000.0
2019-02-28,19884.0,4240000.0
2019-03-01,19884.0,4248000.0
2019-03-02,19884.0,4253000.0
2019-03-03,19884.0,4239000.0
2019-03-04,20006.0,4155000.0
2019-03-05,19703.0,4249000.0
2019-03-06,19561.0,4260000.0
2019-03-07,19385.0,4289000.0
2019-03-08,19180.0,4310000.0
2019-03-09,19180.0,4352000.0
2019-03-10,19180.0,4336000.0
2019-03-11,19566.0,4337000.0
2019-03-12,20021.0,4326000.0
2019-03-13,20188.0,4325000.0
2019-03-14,20449.0,4337000.0
2019-03-15,20284.0,4359000.0
2019-03-16,20284.0,4445000.0
2019-03-17,20284.0,4425000.0
2019-03-18,20354.0,4458000.0
2019-03-19,20235.0,4486000.0
2019-03-20,20540.0,4533000.0
2019-03-21,20862.0,4491000.0
2019-03-22,21067.0,4490000.0
2019-03-23,21067.0,4507000.0
2019-03-24,21067.0,4525000.0
2019-03-25,20294.0,4487000.0
2019-03-26,20439.0,4493000.0
2019-03-27,20459.0,4548000.0
2019-03-28,20031.0,4550000.0
2019-03-29,20344.0,4641000.0
2019-03-30,20344.0,4636000.0
2019-03-31,20344.0,4661000.0
2019-04-01,20862.0,4711000.0
2019-04-02,20797.0,5411000.0
2019-04-03,21324.0,5594000.0
2019-04-04,21499.0,5571000.0
2019-04-05,21723.0,5685000.0
2019-04-06,21723.0,5793000.0
2019-04-07,21723.0,5910000.0
2019-04-08,21315.0,6091000.0
2019-04-09,21471.0,6000000.0
2019-04-10,21533.0,6166000.0
2019-04-11,21667.0,5860000.0
2019-04-12,21667.0,5897000.0
2019-04-13,21667.0,5889000.0
2019-04-14,21667.0,5958000.0
2019-04-15,21742.0,5860000.0
2019-04-16,21605.0,6024000.0
2019-04-17,21993.0,6004000.0
2019-04-18,21624.0,6070000.0
2019-04-19,21875.0,6087000.0
2019-04-20,21875.0,6141000.0
2019-04-21,21875.0,6145000.0
2019-04-22,21691.0,6237000.0
2019-04-23,21810.0,6450000.0
2019-04-24,21662.0,6415000.0
2019-04-25,21961.0,6120000.0
2019-04-26,21338.0,6137000.0
2019-04-27,21338.0,6114000.0
2019-04-28,21338.0,6138000.0
2019-04-29,21852.0,6029000.0
2019-04-30,21912.0,6117000.0
2019-05-01,21912.0,6192000.0
2019-05-02,22119.0,6327000.0
2019-05-03,22104.0,6596000.0
2019-05-04,22104.0,6719000.0
2019-05-05,22104.0,6704000.0
2019-05-06,22104.0,6620000.0
2019-05-07,21708.0,6753000.0
2019-05-08,21328.0,6959000.0
2019-05-09,20540.0,7273000.0
2019-05-10,20573.0,7495000.0
2019-05-11,20573.0,8368000.0
2019-05-12,20573.0,8170000.0
2019-05-13,19952.0,9230000.0
2019-05-14,20058.0,9499000.0
2019-05-15,20447.0,9606000.0
2019-05-16,19856.0,9465000.0
2019-05-17,19755.0,8891000.0
2019-05-18,19755.0,8823000.0
2019-05-19,19755.0,9712000.0
2019-05-20,19456.0,9581000.0
2019-05-21,19563.0,9509000.0
2019-05-22,19389.0,9309000.0
2019-05-23,18984.0,9491000.0
2019-05-24,18604.0,9580000.0
2019-05-25,18604.0,9594000.0
2019-05-26,18604.0,10299000.0
2019-05-27,18575.0,10376000.0
2019-05-28,18893.0,10333000.0
2019-05-29,18787.0,10325000.0
2019-05-30,18951.0,10120000.0
2019-05-31,18975.0,10383000.0
2019-06-01,18975.0,10350000.0
2019-06-02,18975.0,10505000.0
2019-06-03,19072.0,9999000.0
2019-06-04,18984.0,9486000.0
2019-06-05,19135.0,9583000.0
2019-06-06,19135.0,9495000.0
2019-06-07,19263.0,9749000.0
2019-06-08,19263.0,9733000.0
2019-06-09,19263.0,9474000.0
2019-06-10,19529.0,9731000.0
2019-06-11,19961.0,9587000.0
2019-06-12,19529.0,9803000.0
2019-06-13,19282.0,9935000.0
2019-06-14,19032.0,10462000.0
2019-06-15,19032.0,10528000.0
2019-06-16,19032.0,10710000.0
2019-06-17,18970.0,11055000.0
2019-06-18,18927.0,10902000.0
2019-06-19,19291.0,11063000.0
2019-06-20,19495.0,11349000.0
2019-06-21,19210.0,11994000.0
2019-06-22,19210.0,12398000.0
2019-06-23,19210.0,12681000.0
2019-06-24,19268.0,12891000.0
2019-06-25,19013.0,13941000.0
2019-06-26,19219.0,15854000.0
2019-06-27,19480.0,14028000.0
2019-06-28,19441.0,15307000.0
2019-06-29,19441.0,14576000.0
2019-06-30,19441.0,13598000.0
2019-07-01,19577.0,13026000.0
2019-07-02,19644.0,13205000.0
2019-07-03,19509.0,14419000.0
2019-07-04,19832.0,13535000.0
2019-07-05,19563.0,13367000.0
2019-07-06,19563.0,13607000.0
2019-07-07,19563.0,13652000.0
2019-07-08,18494.0,14570000.0
2019-07-09,18589.0,14940000.0
2019-07-10,19062.0,14595000.0
2019-07-11,19620.0,13770000.0
2019-07-12,19735.0,14199000.0
2019-07-13,19735.0,13810000.0
2019-07-14,19735.0,12425000.0
2019-07-15,19870.0,13166000.0
2019-07-16,19927.0,11448000.0
2019-07-17,19485.0,11648000.0
2019-07-18,19750.0,12659000.0
2019-07-19,20024.0,12549000.0
2019-07-20,20024.0,12780000.0
2019-07-21,20024.0,12565000.0
2019-07-22,20246.0,12310000.0
2019-07-23,20169.0,11797000.0
2019-07-24,19942.0,11611000.0
2019-07-25,19927.0,11743000.0
2019-07-26,19817.0,11680000.0
2019-07-27,19817.0,11310000.0
2019-07-28,19817.0,11310000.0
2019-07-29,18956.0,11280000.0
2019-07-30,19273.0,11323000.0
2019-07-31,19215.0,11957000.0
2019-08-01,18893.0,12317000.0
2019-08-02,18758.0,12563000.0
2019-08-03,18758.0,12773000.0
2019-08-04,18758.0,12958000.0
2019-08-05,17939.0,14181000.0
2019-08-06,17209.0,13782000.0
2019-08-07,17751.0,14219000.0
2019-08-08,18131.0,14241000.0
2019-08-09,18290.0,14248000.0
2019-08-10,18290.0,13699000.0
2019-08-11,18290.0,13876000.0
2019-08-12,18340.0,13696000.0
2019-08-13,18340.0,13147000.0
2019-08-14,18691.0,12202000.0
2019-08-15,18691.0,12619000.0
2019-08-16,18526.0,12575000.0
2019-08-17,18526.0,12424000.0
2019-08-18,18526.0,12509000.0
2019-08-19,18526.0,13165000.0
2019-08-20,18927.0,12952000.0
2019-08-21,19130.0,12293000.0
2019-08-22,18768.0,12210000.0
2019-08-23,18791.0,12443000.0
2019-08-24,18791.0,12201000.0
2019-08-25,18791.0,12218000.0
2019-08-26,17916.0,12421000.0
2019-08-27,18185.0,12208000.0
2019-08-28,18485.0,11787000.0
2019-08-29,18276.0,11525000.0
2019-08-30,18791.0,11632000.0
2019-08-31,18791.0,11612000.0
2019-09-01,18791.0,11768000.0
2019-09-02,19101.0,12435000.0
2019-09-03,19052.0,12703000.0
2019-09-04,19775.0,12641000.0
2019-09-05,20437.0,12644000.0
2019-09-06,20424.0,12341000.0
2019-09-07,20424.0,12473000.0
2019-09-08,20424.0,12370000.0
2019-09-09,20375.0,12278000.0
2019-09-10,20295.0,12078000.0
2019-09-11,20285.0,12162000.0
2019-09-12,20285.0,12427000.0
2019-09-13,20285.0,12306000.0
2019-09-14,20285.0,12253000.0
2019-09-15,20285.0,12169000.0
2019-09-16,20226.0,12133000.0
2019-09-17,20203.0,12061000.0
2019-09-18,20390.0,12050000.0
2019-09-19,20689.0,12180000.0
2019-09-20,20781.0,12074000.0
2019-09-21,20781.0,11891000.0
2019-09-22,20781.0,11936000.0
2019-09-23,20601.0,11545000.0
2019-09-24,20650.0,10194000.0
2019-09-25,20447.0,10143000.0
2019-09-26,20573.0,9700000.0
2019-09-27,20520.0,9833000.0
2019-09-28,20520.0,9874000.0
2019-09-29,20520.0,9670000.0
2019-09-30,20596.0,9945000.0
2019-10-01,20660.0,9987000.0
2019-10-02,20159.0,10077000.0
2019-10-03,20159.0,9937000.0
2019-10-04,20212.0,9755000.0
2019-10-05,20212.0,9720000.0
2019-10-06,20212.0,9443000.0
2019-10-07,20159.0,9749000.0
2019-10-08,20520.0,9728000.0
2019-10-09,20520.0,10182000.0
2019-10-10,20375.0,10167000.0
2019-10-11,20550.0,9814000.0
2019-10-12,20550.0,9867000.0
2019-10-13,20550.0,9807000.0
2019-10-14,20881.0,9871000.0
2019-10-15,21348.0,9719000.0
2019-10-16,21637.0,9525000.0
2019-10-17,21463.0,9563000.0
2019-10-18,21091.0,9434000.0
2019-10-19,21091.0,9437000.0
2019-10-20,21091.0,9710000.0
2019-10-21,21247.0,9663000.0
2019-10-22,21276.0,9470000.0
2019-10-23,21227.0,8826000.0
2019-10-24,21426.0,8743000.0
2019-10-25,21681.0,10063000.0
2019-10-26,21681.0,10730000.0
2019-10-27,21681.0,10975000.0
2019-10-28,21791.0,10736000.0
2019-10-29,21772.0,10894000.0
2019-10-30,21392.0,10682000.0
2019-10-31,21767.0,10692000.0
2019-11-01,21806.0,10805000.0
2019-11-02,21806.0,10851000.0
2019-11-03,21806.0,10765000.0
2019-11-04,22114.0,10846000.0
2019-11-05,22218.0,10752000.0
2019-11-06,21806.0,10751000.0
2019-11-07,21651.0,10668000.0
